run_id,timestamp_utc,method,arm,impl_commit,rasteriser_commit,dataset,scene,resolution_flag,load_allres,kernel_size,disable_3D_filter,train_scale,test_scale,iterations,seed,psnr,ssim,lpips,lpips_backbone,n_gaussians,model_mb,peak_vram_mb,train_seconds,render_fps,gpu_model,platform,level_claimed,notes
r3-20260908T080247+0000-A-truck-default,2026-09-08T08:02:47+00:00,mip-splatting,A,28b145620855666b12569bb4a2a86c242f5a6d03,28b145620855666b12569bb4a2a86c242f5a6d03,tandt,truck,default,False,0.1,False,native,default,30000,0,25.7879,0.89328,0.12335,vgg,3239345,816.32,14897,5314.7,0.925,Tesla T4,kaggle,L2,"R3 real scene, tandt, default res, 30000 iters, every-8th test split (F12)"
r3-20260908T080247+0000-B-truck-default,2026-09-08T08:02:47+00:00,3dgs,B,bcfd63fbe4ee8f1e0641544460c15fac13ebe1c4,bcfd63fbe4ee8f1e0641544460c15fac13ebe1c4,tandt,truck,default,False,0.3,True,native,default,30000,0,25.6162,0.89042,0.12730,vgg,4056414,1022.22,14907,6084.1,0.847,Tesla T4,kaggle,L2,"R3 real scene, tandt, default res, 30000 iters, every-8th test split (F12)"
r3-20260908T080247+0000-A-train-default,2026-09-08T08:02:47+00:00,mip-splatting,A,28b145620855666b12569bb4a2a86c242f5a6d03,28b145620855666b12569bb4a2a86c242f5a6d03,tandt,train,default,False,0.1,False,native,default,30000,0,21.8325,0.82763,0.18849,vgg,1485087,374.24,14823,3303.7,1.172,Tesla T4,kaggle,L2,"R3 real scene, tandt, default res, 30000 iters, every-8th test split (F12)"
r3-20260908T080247+0000-B-train-default,2026-09-08T08:02:47+00:00,3dgs,B,bcfd63fbe4ee8f1e0641544460c15fac13ebe1c4,bcfd63fbe4ee8f1e0641544460c15fac13ebe1c4,tandt,train,default,False,0.3,True,native,default,30000,0,21.6151,0.82161,0.19481,vgg,1356504,341.84,14589,3137.6,1.195,Tesla T4,kaggle,L2,"R3 real scene, tandt, default res, 30000 iters, every-8th test split (F12)"
r3-20260908T080247+0000-A-drjohnson-default,2026-09-08T08:02:47+00:00,mip-splatting,A,28b145620855666b12569bb4a2a86c242f5a6d03,28b145620855666b12569bb4a2a86c242f5a6d03,db,drjohnson,default,False,0.1,False,native,default,30000,0,28.6686,0.89864,0.24360,vgg,4150877,1046.02,14843,7862.4,0.573,Tesla T4,kaggle,L2,"R3 real scene, db, default res, 30000 iters, every-8th test split (F12)"
r3-20260908T080247+0000-B-drjohnson-default,2026-09-08T08:02:47+00:00,3dgs,B,bcfd63fbe4ee8f1e0641544460c15fac13ebe1c4,bcfd63fbe4ee8f1e0641544460c15fac13ebe1c4,db,drjohnson,default,False,0.3,True,native,default,30000,0,28.7664,0.89918,0.24142,vgg,4083683,1029.09,14811,7974.4,0.577,Tesla T4,kaggle,L2,"R3 real scene, db, default res, 30000 iters, every-8th test split (F12)"
r3-20260908T080247+0000-A-playroom-default,2026-09-08T08:02:47+00:00,mip-splatting,A,28b145620855666b12569bb4a2a86c242f5a6d03,28b145620855666b12569bb4a2a86c242f5a6d03,db,playroom,default,False,0.1,False,native,default,30000,0,30.0940,0.90799,0.23391,vgg,2845657,717.11,14871,5943.2,0.622,Tesla T4,kaggle,L2,"R3 real scene, db, default res, 30000 iters, every-8th test split (F12)"
r3-20260908T080247+0000-B-playroom-default,2026-09-08T08:02:47+00:00,3dgs,B,bcfd63fbe4ee8f1e0641544460c15fac13ebe1c4,bcfd63fbe4ee8f1e0641544460c15fac13ebe1c4,db,playroom,default,False,0.3,True,native,default,30000,0,29.9331,0.90686,0.23351,vgg,2759648,695.43,14751,5908.4,0.653,Tesla T4,kaggle,L2,"R3 real scene, db, default res, 30000 iters, every-8th test split (F12)"
