run_id,timestamp_utc,method,arm,impl_commit,rasteriser_commit,dataset,scene,resolution_flag,load_allres,kernel_size,disable_3D_filter,train_scale,test_scale,iterations,seed,psnr,ssim,lpips,lpips_backbone,n_gaussians,model_mb,peak_vram_mb,train_seconds,render_fps,gpu_model,platform,level_claimed,notes
r1-20260907T191018+0000-A-drums-1x,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,drums,-1,False,0.1,False,1x,1x,30000,0,26.2146,0.95507,0.03756,vgg,342722,86.37,4897,1491.1,8.936,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-drums-12,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,drums,-1,False,0.1,False,1x,1/2,30000,0,26.9499,0.95982,0.02915,vgg,342722,86.37,4897,1491.1,8.936,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-drums-14,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,drums,-1,False,0.1,False,1x,1/4,30000,0,26.9074,0.96029,0.03304,vgg,342722,86.37,4897,1491.1,8.936,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-drums-18,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,drums,-1,False,0.1,False,1x,1/8,30000,0,25.8188,0.95722,0.03968,vgg,342722,86.37,4897,1491.1,8.936,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-ficus-1x,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,ficus,-1,False,0.1,False,1x,1x,30000,0,35.1917,0.98794,0.01139,vgg,185879,46.84,4267,1034.9,11.063,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-ficus-12,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,ficus,-1,False,0.1,False,1x,1/2,30000,0,34.7899,0.99108,0.00774,vgg,185879,46.84,4267,1034.9,11.063,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-ficus-14,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,ficus,-1,False,0.1,False,1x,1/4,30000,0,32.2949,0.98905,0.01148,vgg,185879,46.84,4267,1034.9,11.063,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-ficus-18,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,ficus,-1,False,0.1,False,1x,1/8,30000,0,29.7424,0.98428,0.01602,vgg,185879,46.84,4267,1034.9,11.063,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-ficus-1x,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,ficus,-1,False,0.3,True,1x,1x,30000,0,36.4215,0.98975,0.00938,vgg,242548,61.12,5083,1107.2,11.096,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-ficus-12,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,ficus,-1,False,0.3,True,1x,1/2,30000,0,33.7419,0.98943,0.01025,vgg,242548,61.12,5083,1107.2,11.096,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
