run_id,timestamp_utc,method,arm,impl_commit,rasteriser_commit,dataset,scene,resolution_flag,load_allres,kernel_size,disable_3D_filter,train_scale,test_scale,iterations,seed,psnr,ssim,lpips,lpips_backbone,n_gaussians,model_mb,peak_vram_mb,train_seconds,render_fps,gpu_model,platform,level_claimed,notes
r7-t2-20260908T133754+0000-b1_chair_full-1x,2026-09-08T13:37:54+00:00,b1-fisher,C,6693604d6bd9194b7f2095de76fdc0997c2d15ff,6693604d6bd9194b7f2095de76fdc0997c2d15ff,blender,chair,-1,False,0.1,False,1x/full,1x,30000,0,35.8290,0.98750,0.01285,vgg,266510,67.16,13607,1802.1,9.900,Tesla T4,kaggle,L3,R7 table2 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
r7-t2-20260908T133754+0000-b1_chair_full-12,2026-09-08T13:37:54+00:00,b1-fisher,C,6693604d6bd9194b7f2095de76fdc0997c2d15ff,6693604d6bd9194b7f2095de76fdc0997c2d15ff,blender,chair,-1,False,0.1,False,1x/full,1/2,30000,0,37.7610,0.99237,0.00748,vgg,266510,67.16,13607,1802.1,9.900,Tesla T4,kaggle,L3,R7 table2 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
r7-t2-20260908T133754+0000-b1_chair_full-14,2026-09-08T13:37:54+00:00,b1-fisher,C,6693604d6bd9194b7f2095de76fdc0997c2d15ff,6693604d6bd9194b7f2095de76fdc0997c2d15ff,blender,chair,-1,False,0.1,False,1x/full,1/4,30000,0,36.0247,0.98943,0.01180,vgg,266510,67.16,13607,1802.1,9.900,Tesla T4,kaggle,L3,R7 table2 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
r7-t2-20260908T133754+0000-b1_chair_full-18,2026-09-08T13:37:54+00:00,b1-fisher,C,6693604d6bd9194b7f2095de76fdc0997c2d15ff,6693604d6bd9194b7f2095de76fdc0997c2d15ff,blender,chair,-1,False,0.1,False,1x/full,1/8,30000,0,32.4783,0.98144,0.02051,vgg,266510,67.16,13607,1802.1,9.900,Tesla T4,kaggle,L3,R7 table2 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
r7-t2-20260908T133754+0000-b1_lego_full-1x,2026-09-08T13:37:54+00:00,b1-fisher,C,6693604d6bd9194b7f2095de76fdc0997c2d15ff,6693604d6bd9194b7f2095de76fdc0997c2d15ff,blender,lego,-1,False,0.1,False,1x/full,1x,30000,0,35.8977,0.98378,0.01508,vgg,293818,74.04,14055,2018.3,8.965,Tesla T4,kaggle,L3,R7 table2 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
r7-t2-20260908T133754+0000-b1_lego_full-12,2026-09-08T13:37:54+00:00,b1-fisher,C,6693604d6bd9194b7f2095de76fdc0997c2d15ff,6693604d6bd9194b7f2095de76fdc0997c2d15ff,blender,lego,-1,False,0.1,False,1x/full,1/2,30000,0,35.4564,0.98903,0.00854,vgg,293818,74.04,14055,2018.3,8.965,Tesla T4,kaggle,L3,R7 table2 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
r7-t2-20260908T133754+0000-b1_lego_full-14,2026-09-08T13:37:54+00:00,b1-fisher,C,6693604d6bd9194b7f2095de76fdc0997c2d15ff,6693604d6bd9194b7f2095de76fdc0997c2d15ff,blender,lego,-1,False,0.1,False,1x/full,1/4,30000,0,31.8616,0.98479,0.01336,vgg,293818,74.04,14055,2018.3,8.965,Tesla T4,kaggle,L3,R7 table2 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
r7-t2-20260908T133754+0000-b1_lego_full-18,2026-09-08T13:37:54+00:00,b1-fisher,C,6693604d6bd9194b7f2095de76fdc0997c2d15ff,6693604d6bd9194b7f2095de76fdc0997c2d15ff,blender,lego,-1,False,0.1,False,1x/full,1/8,30000,0,28.2780,0.97348,0.02547,vgg,293818,74.04,14055,2018.3,8.965,Tesla T4,kaggle,L3,R7 table2 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
