run_id,timestamp_utc,method,arm,impl_commit,rasteriser_commit,dataset,scene,resolution_flag,load_allres,kernel_size,disable_3D_filter,train_scale,test_scale,iterations,seed,psnr,ssim,lpips,lpips_backbone,n_gaussians,model_mb,peak_vram_mb,train_seconds,render_fps,gpu_model,platform,level_claimed,notes
r1-20260912T022338+0000-B-chair-1x,2026-09-12T02:23:38+00:00,3dgs,B,061a9084e00ce8aaec5783df32b047b2b7178084,061a9084e00ce8aaec5783df32b047b2b7178084,blender,chair,-1,False,0.3,True,1x,1x,30000,0,35.3184,0.98562,0.01289,vgg,326405,82.26,5621,1412.0,9.342,Tesla T4,kaggle,L1,"C2 Blender STMT, 30000 iters, 2-scene sweep, seed 0"
r1-20260912T022338+0000-B-chair-12,2026-09-12T02:23:38+00:00,3dgs,B,061a9084e00ce8aaec5783df32b047b2b7178084,061a9084e00ce8aaec5783df32b047b2b7178084,blender,chair,-1,False,0.3,True,1x,1/2,30000,0,29.2405,0.96431,0.02206,vgg,326405,82.26,5621,1412.0,9.342,Tesla T4,kaggle,L1,"C2 Blender STMT, 30000 iters, 2-scene sweep, seed 0"
r1-20260912T022338+0000-B-chair-14,2026-09-12T02:23:38+00:00,3dgs,B,061a9084e00ce8aaec5783df32b047b2b7178084,061a9084e00ce8aaec5783df32b047b2b7178084,blender,chair,-1,False,0.3,True,1x,1/4,30000,0,24.3901,0.91340,0.04390,vgg,326405,82.26,5621,1412.0,9.342,Tesla T4,kaggle,L1,"C2 Blender STMT, 30000 iters, 2-scene sweep, seed 0"
r1-20260912T022338+0000-B-chair-18,2026-09-12T02:23:38+00:00,3dgs,B,061a9084e00ce8aaec5783df32b047b2b7178084,061a9084e00ce8aaec5783df32b047b2b7178084,blender,chair,-1,False,0.3,True,1x,1/8,30000,0,21.1350,0.83217,0.08394,vgg,326405,82.26,5621,1412.0,9.342,Tesla T4,kaggle,L1,"C2 Blender STMT, 30000 iters, 2-scene sweep, seed 0"
