run_id,timestamp_utc,method,arm,impl_commit,rasteriser_commit,dataset,scene,resolution_flag,load_allres,kernel_size,disable_3D_filter,train_scale,test_scale,iterations,seed,psnr,ssim,lpips,lpips_backbone,n_gaussians,model_mb,peak_vram_mb,train_seconds,render_fps,gpu_model,platform,level_claimed,notes
r7-t3-20260912T105041+0000-b1_drums_full-18,2026-09-12T10:50:41+00:00,b1-fisher,C,998c5863890da837e7d1c148bf0a4d63c42efb5f,998c5863890da837e7d1c148bf0a4d63c42efb5f,blender,drums,-1,False,0.1,False,1x/full,1/8,30000,0,25.8199,0.95730,0.03960,vgg,340281,85.75,14165,2026.9,8.876,Tesla T4,kaggle,L3,R7 table3 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
r7-t3-20260912T105041+0000-mip_ficus_full-1x,2026-09-12T10:50:41+00:00,mip-splatting,A,998c5863890da837e7d1c148bf0a4d63c42efb5f,998c5863890da837e7d1c148bf0a4d63c42efb5f,blender,ficus,-1,False,0.1,False,1x/full,1x,30000,0,35.1844,0.98792,0.01143,vgg,187507,47.25,4415,1034.3,11.864,Tesla T4,kaggle,L3,R7 table3 mip-splatting protocol=full n_cam=100 span=179deg 30000 iters
r7-t3-20260912T105041+0000-mip_ficus_full-12,2026-09-12T10:50:41+00:00,mip-splatting,A,998c5863890da837e7d1c148bf0a4d63c42efb5f,998c5863890da837e7d1c148bf0a4d63c42efb5f,blender,ficus,-1,False,0.1,False,1x/full,1/2,30000,0,34.7863,0.99108,0.00773,vgg,187507,47.25,4415,1034.3,11.864,Tesla T4,kaggle,L3,R7 table3 mip-splatting protocol=full n_cam=100 span=179deg 30000 iters
r7-t3-20260912T105041+0000-mip_ficus_full-14,2026-09-12T10:50:41+00:00,mip-splatting,A,998c5863890da837e7d1c148bf0a4d63c42efb5f,998c5863890da837e7d1c148bf0a4d63c42efb5f,blender,ficus,-1,False,0.1,False,1x/full,1/4,30000,0,32.2982,0.98906,0.01148,vgg,187507,47.25,4415,1034.3,11.864,Tesla T4,kaggle,L3,R7 table3 mip-splatting protocol=full n_cam=100 span=179deg 30000 iters
r7-t3-20260912T105041+0000-mip_ficus_full-18,2026-09-12T10:50:41+00:00,mip-splatting,A,998c5863890da837e7d1c148bf0a4d63c42efb5f,998c5863890da837e7d1c148bf0a4d63c42efb5f,blender,ficus,-1,False,0.1,False,1x/full,1/8,30000,0,29.7594,0.98434,0.01590,vgg,187507,47.25,4415,1034.3,11.864,Tesla T4,kaggle,L3,R7 table3 mip-splatting protocol=full n_cam=100 span=179deg 30000 iters
r7-t3-20260912T105041+0000-b1_ficus_full-1x,2026-09-12T10:50:41+00:00,b1-fisher,C,998c5863890da837e7d1c148bf0a4d63c42efb5f,998c5863890da837e7d1c148bf0a4d63c42efb5f,blender,ficus,-1,False,0.1,False,1x/full,1x,30000,0,35.1834,0.98792,0.01141,vgg,186711,47.05,12793,1328.0,11.212,Tesla T4,kaggle,L3,R7 table3 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
r7-t3-20260912T105041+0000-b1_ficus_full-12,2026-09-12T10:50:41+00:00,b1-fisher,C,998c5863890da837e7d1c148bf0a4d63c42efb5f,998c5863890da837e7d1c148bf0a4d63c42efb5f,blender,ficus,-1,False,0.1,False,1x/full,1/2,30000,0,34.7815,0.99106,0.00774,vgg,186711,47.05,12793,1328.0,11.212,Tesla T4,kaggle,L3,R7 table3 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
r7-t3-20260912T105041+0000-b1_ficus_full-14,2026-09-12T10:50:41+00:00,b1-fisher,C,998c5863890da837e7d1c148bf0a4d63c42efb5f,998c5863890da837e7d1c148bf0a4d63c42efb5f,blender,ficus,-1,False,0.1,False,1x/full,1/4,30000,0,32.2937,0.98904,0.01147,vgg,186711,47.05,12793,1328.0,11.212,Tesla T4,kaggle,L3,R7 table3 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
r7-t3-20260912T105041+0000-b1_ficus_full-18,2026-09-12T10:50:41+00:00,b1-fisher,C,998c5863890da837e7d1c148bf0a4d63c42efb5f,998c5863890da837e7d1c148bf0a4d63c42efb5f,blender,ficus,-1,False,0.1,False,1x/full,1/8,30000,0,29.7549,0.98435,0.01601,vgg,186711,47.05,12793,1328.0,11.212,Tesla T4,kaggle,L3,R7 table3 b1-fisher protocol=full n_cam=100 span=179deg 30000 iters
r7-t3-20260912T105041+0000-mip_hotdog_full-1x,2026-09-12T10:50:41+00:00,mip-splatting,A,998c5863890da837e7d1c148bf0a4d63c42efb5f,998c5863890da837e7d1c148bf0a4d63c42efb5f,blender,hotdog,-1,False,0.1,False,1x/full,1x,30000,0,37.8779,0.98600,0.01879,vgg,192311,48.46,4057,1375.1,8.888,Tesla T4,kaggle,L3,R7 table3 mip-splatting protocol=full n_cam=100 span=179deg 30000 iters
