run_id,timestamp_utc,method,arm,impl_commit,rasteriser_commit,dataset,scene,resolution_flag,load_allres,kernel_size,disable_3D_filter,train_scale,test_scale,iterations,seed,psnr,ssim,lpips,lpips_backbone,n_gaussians,model_mb,peak_vram_mb,train_seconds,render_fps,gpu_model,platform,level_claimed,notes
r1-20260907T224207+0000-B-chair_s1-1x,2026-09-07T22:42:07+00:00,3dgs,B,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,blender,chair,-1,False,0.3,True,1x,1x,30000,1,36.1384,0.98759,0.01338,vgg,312191,78.67,4491,1278.6,9.411,Tesla T4,kaggle,L1,"R5 Blender STMT, 30000 iters, 2-scene sweep, seed 1"
r1-20260907T224207+0000-B-chair_s1-12,2026-09-07T22:42:07+00:00,3dgs,B,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,blender,chair,-1,False,0.3,True,1x,1/2,30000,1,35.3047,0.98614,0.01446,vgg,312191,78.67,4491,1278.6,9.411,Tesla T4,kaggle,L1,"R5 Blender STMT, 30000 iters, 2-scene sweep, seed 1"
r1-20260907T224207+0000-B-chair_s1-14,2026-09-07T22:42:07+00:00,3dgs,B,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,blender,chair,-1,False,0.3,True,1x,1/4,30000,1,32.1313,0.97749,0.02364,vgg,312191,78.67,4491,1278.6,9.411,Tesla T4,kaggle,L1,"R5 Blender STMT, 30000 iters, 2-scene sweep, seed 1"
r1-20260907T224207+0000-B-chair_s1-18,2026-09-07T22:42:07+00:00,3dgs,B,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,blender,chair,-1,False,0.3,True,1x,1/8,30000,1,28.3865,0.95690,0.04354,vgg,312191,78.67,4491,1278.6,9.411,Tesla T4,kaggle,L1,"R5 Blender STMT, 30000 iters, 2-scene sweep, seed 1"
r1-20260907T224207+0000-B-lego_s2-1x,2026-09-07T22:42:07+00:00,3dgs,B,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,blender,lego,-1,False,0.3,True,1x,1x,30000,2,36.0575,0.98369,0.01541,vgg,224725,56.63,4643,1298.5,7.957,Tesla T4,kaggle,L1,"R5 Blender STMT, 30000 iters, 2-scene sweep, seed 2"
r1-20260907T224207+0000-B-lego_s2-12,2026-09-07T22:42:07+00:00,3dgs,B,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,blender,lego,-1,False,0.3,True,1x,1/2,30000,2,31.8835,0.98015,0.01608,vgg,224725,56.63,4643,1298.5,7.957,Tesla T4,kaggle,L1,"R5 Blender STMT, 30000 iters, 2-scene sweep, seed 2"
r1-20260907T224207+0000-B-lego_s2-14,2026-09-07T22:42:07+00:00,3dgs,B,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,blender,lego,-1,False,0.3,True,1x,1/4,30000,2,27.2478,0.95847,0.03513,vgg,224725,56.63,4643,1298.5,7.957,Tesla T4,kaggle,L1,"R5 Blender STMT, 30000 iters, 2-scene sweep, seed 2"
r1-20260907T224207+0000-B-lego_s2-18,2026-09-07T22:42:07+00:00,3dgs,B,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,7d3806dcb20bb9b53ce5dc3c09aec9d7027e82bf,blender,lego,-1,False,0.3,True,1x,1/8,30000,2,24.1314,0.93484,0.06573,vgg,224725,56.63,4643,1298.5,7.957,Tesla T4,kaggle,L1,"R5 Blender STMT, 30000 iters, 2-scene sweep, seed 2"
r1-20260907T224207+0000-A-lego_s2-1x,2026-09-07T22:42:07+00:00,mip-splatting,A,f85def102a51556cdd65efe87098fc8aab9e52a7,f85def102a51556cdd65efe87098fc8aab9e52a7,blender,lego,-1,False,0.1,False,1x,1x,30000,2,35.8768,0.98372,0.01521,vgg,291077,73.35,4453,1492.8,8.106,Tesla T4,kaggle,L1,"R5 Blender STMT, 30000 iters, 2-scene sweep, seed 2"
r1-20260907T224207+0000-A-lego_s2-12,2026-09-07T22:42:07+00:00,mip-splatting,A,f85def102a51556cdd65efe87098fc8aab9e52a7,f85def102a51556cdd65efe87098fc8aab9e52a7,blender,lego,-1,False,0.1,False,1x,1/2,30000,2,35.4784,0.98902,0.00858,vgg,291077,73.35,4453,1492.8,8.106,Tesla T4,kaggle,L1,"R5 Blender STMT, 30000 iters, 2-scene sweep, seed 2"
