run_id,timestamp_utc,method,arm,impl_commit,rasteriser_commit,dataset,scene,resolution_flag,load_allres,kernel_size,disable_3D_filter,train_scale,test_scale,iterations,seed,psnr,ssim,lpips,lpips_backbone,n_gaussians,model_mb,peak_vram_mb,train_seconds,render_fps,gpu_model,platform,level_claimed,notes
r7-t3-20260911T183335+0000-mip_lego_arc-18,2026-09-11T18:33:35+00:00,mip-splatting,A,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/arc,1/8,30000,0,27.3215,0.96139,0.03314,vgg,278569,70.20,4041,1502.9,7.808,Tesla T4,kaggle,L2,R7 table3 mip-splatting protocol=arc n_cam=25 span=93deg 30000 iters
r7-t3-20260911T183335+0000-b1_lego_arc-1x,2026-09-11T18:33:35+00:00,b1-fisher,C,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/arc,1x,30000,0,30.5229,0.94988,0.04364,vgg,280085,70.58,14129,1856.4,7.521,Tesla T4,kaggle,L2,R7 table3 b1-fisher protocol=arc n_cam=25 span=93deg 30000 iters
r7-t3-20260911T183335+0000-b1_lego_arc-12,2026-09-11T18:33:35+00:00,b1-fisher,C,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/arc,1/2,30000,0,31.0148,0.96064,0.02956,vgg,280085,70.58,14129,1856.4,7.521,Tesla T4,kaggle,L2,R7 table3 b1-fisher protocol=arc n_cam=25 span=93deg 30000 iters
r7-t3-20260911T183335+0000-b1_lego_arc-14,2026-09-11T18:33:35+00:00,b1-fisher,C,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/arc,1/4,30000,0,29.8996,0.96563,0.02660,vgg,280085,70.58,14129,1856.4,7.521,Tesla T4,kaggle,L2,R7 table3 b1-fisher protocol=arc n_cam=25 span=93deg 30000 iters
r7-t3-20260911T183335+0000-b1_lego_arc-18,2026-09-11T18:33:35+00:00,b1-fisher,C,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/arc,1/8,30000,0,27.5227,0.96187,0.03255,vgg,280085,70.58,14129,1856.4,7.521,Tesla T4,kaggle,L2,R7 table3 b1-fisher protocol=arc n_cam=25 span=93deg 30000 iters
r7-t3-20260911T183335+0000-mip_lego_cone-1x,2026-09-11T18:33:35+00:00,mip-splatting,A,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/cone,1x,30000,0,24.8661,0.88277,0.10305,vgg,239492,60.35,4151,1430.1,7.838,Tesla T4,kaggle,L2,R7 table3 mip-splatting protocol=cone n_cam=10 span=41deg 30000 iters
r7-t3-20260911T183335+0000-mip_lego_cone-12,2026-09-11T18:33:35+00:00,mip-splatting,A,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/cone,1/2,30000,0,25.4149,0.89749,0.08251,vgg,239492,60.35,4151,1430.1,7.838,Tesla T4,kaggle,L2,R7 table3 mip-splatting protocol=cone n_cam=10 span=41deg 30000 iters
r7-t3-20260911T183335+0000-mip_lego_cone-14,2026-09-11T18:33:35+00:00,mip-splatting,A,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/cone,1/4,30000,0,25.8455,0.91800,0.06664,vgg,239492,60.35,4151,1430.1,7.838,Tesla T4,kaggle,L2,R7 table3 mip-splatting protocol=cone n_cam=10 span=41deg 30000 iters
r7-t3-20260911T183335+0000-mip_lego_cone-18,2026-09-11T18:33:35+00:00,mip-splatting,A,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/cone,1/8,30000,0,25.4057,0.93367,0.05792,vgg,239492,60.35,4151,1430.1,7.838,Tesla T4,kaggle,L2,R7 table3 mip-splatting protocol=cone n_cam=10 span=41deg 30000 iters
r7-t3-20260911T183335+0000-b1_lego_cone-1x,2026-09-11T18:33:35+00:00,b1-fisher,C,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/cone,1x,30000,0,24.8698,0.88254,0.10615,vgg,238766,60.17,10171,1732.6,7.389,Tesla T4,kaggle,L2,R7 table3 b1-fisher protocol=cone n_cam=10 span=41deg 30000 iters
